mRNA	FC	pvalue
Jarid2	2.49	0
Pmaip1	2.08	0
LOC633640	1.85	0
Bach1	2.08	0
1110067D22Rik	2.72	0
Carhsp1	1.53	0
Nfe2l2	1.94	0
Ube2d1	1.73	0
Sfpi1	1.72	0
Sgk3	1.71	0
Prei3	1.68	0
5730449L18Rik	1.65	0
Armcx2	1.64	0
D17Ertd441e	1.64	0
Det1	1.64	0
Grhpr	1.6	0
Aicda	1.58	0
Uap1	1.55	0
Csnk1g2	1.54	0
Sh3glb1	1.52	0
D19Wsu162e	1.51	0
Myb	1.78	0
Smad5	1.93	0
Picalm	1.86	0
Paip1	2.87	0
Tnfsf9	2.61	0
Tbc1d23	2.44	0
Pdk1	1.88	0
Daam1	1.87	0
Rcn2	1.6	0
Atp11a	1.54	0
LOC630729	2.36	0
Gsr	2.05	0
Bat5	1.79	0
Peli1	1.63	0
Sgcb	1.62	0
Atp6v1g1	1.53	0
Mxi1	1.51	0
Setd8	1.5	0
Cap1	1.56	0
Psip1	1.61	0
Tmcc3	1.73	0
Mgll	1.69	0
4930453N24Rik	2.77	0
Adm	1.93	0
Dynlt1	1.65	0
Cdkn1a	1.64	0
Kcnk6	1.59	0
Rcor1	1.55	0
Gcat	1.54	0
Igf2r	1.52	0
Txnrd1	1.51	0
0610011I04Rik	2.54	0
Bhlhb8	1.94	0
Serpinb6b	1.72	0
Nrip1	1.67	0
Tfpi	1.64	0
locus	1.59	0
Zc3h12c	1.55	0
Nin	2.98	0
D14Ertd449e	2.83	0
Basp1	2.4	0
1810009M01Rik	2.24	0
Alcam	2.24	0
Mt1	2.17	0
Nqo1	2.11	0
Ptgir	2.11	0
Cdkn2b	2.08	0
Ninj1	1.98	0
Afp	1.97	0
Itsn1	1.93	0
Cited2	1.92	0
A630054L15Rik	1.9	0
Ier3	1.83	0
Cxcl10	1.81	0
Ebi3	1.77	0
Hivep3	1.76	0
Tpi1	1.72	0
Entpd4	1.71	0
4930431B09Rik	1.7	0
Tnfaip8l1	1.7	0
Sdc1	1.68	0
Ern1	1.67	0
Ccl22	1.61	0
Slc29a2	1.58	0
2610204M08Rik	1.57	0
Ryr1	1.57	0
Cat	1.57	0
Edn3	1.57	0
1190002H23Rik	1.56	0
Lad1	1.56	0
Ppap2a	1.56	0
Prdm1	1.55	0
Slamf1	1.55	0
Zfyve21	1.53	0
Rbm14	1.52	0
Erdr1	1.83	0
9530033F24Rik	1.78	0
Pgls	1.64	0
