miRNA	totalExpected	expectedUp	expectedDn	totalObserved	observedUp	observedDn	UpReg expected ratio	DnReg expected ratio	UpReg observed ratio	DnReg observed ratio	UpReg confidence interval 95% low	UpReg confidence interval 95% high	Upreg pvalue	DnReg confidence interval 95% low	DnReg confidence interval 95% high	Dnreg pvalue	Permutation test Up pValue	Permutation test Dn pValue
miR-99a	37159.000000	100.000000	81.000000	131.000000	0.000000	0.000000	0.002691	0.002180	0.000000	0.000000	-3.000000	-1.000000	7.025671e-01	-3.000000	-1.000000	7.513615e-01	2.926000e-01	2.533000e-01
miR-98	37159.000000	100.000000	81.000000	1468.000000	10.000000	3.000000	0.002691	0.002180	0.006812	0.002044	-2.000000	13.000000	1.000000e+00	-6.000000	4.000000	1.000000e+00	1.800000e-03	3.987000e-01
miR-9	37159.000000	100.000000	81.000000	2172.000000	15.000000	5.000000	0.002691	0.002180	0.006906	0.002302	-1.000000	17.000000	1.000000e+00	-7.000000	5.000000	1.000000e+00	2.000000e-04	3.340000e-01
miR-96	37159.000000	100.000000	81.000000	1780.000000	9.000000	4.000000	0.002691	0.002180	0.005056	0.002247	-4.000000	11.000000	1.000000e+00	-6.000000	5.000000	1.000000e+00	2.280000e-02	3.537000e-01
miR-93	37159.000000	100.000000	81.000000	2127.000000	13.000000	6.000000	0.002691	0.002180	0.006112	0.002821	-2.000000	15.000000	1.000000e+00	-6.000000	7.000000	1.000000e+00	1.900000e-03	1.820000e-01
miR-92b	37159.000000	100.000000	81.000000	1332.000000	12.000000	5.000000	0.002691	0.002180	0.009009	0.003754	0.000000	15.000000	1.000000e+00	-4.000000	7.000000	1.000000e+00	2.000000e-04	7.250000e-02
miR-92a	37159.000000	100.000000	81.000000	1380.000000	12.000000	6.000000	0.002691	0.002180	0.008696	0.004348	0.000000	15.000000	1.000000e+00	-4.000000	8.000000	1.000000e+00	0.000000e+00	3.120000e-02
miR-883b-5p	37159.000000	100.000000	81.000000	565.000000	6.000000	5.000000	0.002691	0.002180	0.010619	0.008850	-2.000000	9.000000	1.000000e+00	-2.000000	8.000000	1.000000e+00	4.000000e-04	1.300000e-03
miR-883b-3p	37159.000000	100.000000	81.000000	991.000000	6.000000	8.000000	0.002691	0.002180	0.006054	0.008073	-3.000000	8.000000	1.000000e+00	-1.000000	11.000000	1.000000e+00	1.590000e-02	2.000000e-04
miR-883a-5p	37159.000000	100.000000	81.000000	956.000000	7.000000	5.000000	0.002691	0.002180	0.007322	0.005230	-2.000000	10.000000	1.000000e+00	-3.000000	7.000000	1.000000e+00	5.100000e-03	1.750000e-02
miR-883a-3p	37159.000000	100.000000	81.000000	985.000000	5.000000	7.000000	0.002691	0.002180	0.005076	0.007107	-4.000000	7.000000	1.000000e+00	-2.000000	10.000000	1.000000e+00	5.220000e-02	1.800000e-03
miR-882	37159.000000	100.000000	81.000000	1857.000000	14.000000	5.000000	0.002691	0.002180	0.007539	0.002693	0.000000	17.000000	1.000000e+00	-6.000000	6.000000	1.000000e+00	5.000000e-04	2.211000e-01
miR-881	37159.000000	100.000000	81.000000	375.000000	3.000000	2.000000	0.002691	0.002180	0.008000	0.005333	-3.000000	5.000000	1.000000e+00	-3.000000	4.000000	1.000000e+00	1.880000e-02	5.350000e-02
miR-880	37159.000000	100.000000	81.000000	256.000000	2.000000	2.000000	0.002691	0.002180	0.007812	0.007812	-3.000000	4.000000	1.000000e+00	-2.000000	4.000000	1.000000e+00	3.110000e-02	1.530000e-02
